"draught","speed","beaufort","consumption","imo"
5.0,12.0,2.0,16.37965625384683,234567
5.0,12.0,3.0,17.147114443616914,234567
5.0,12.0,4.0,18.254477898693064,234567
5.0,12.0,5.0,19.80255406778279,234567
5.0,12.0,6.0,22.02295636587614,234567
5.0,12.0,7.0,25.902997833858123,234567
5.0,12.0,8.0,36.80894700328591,234567
5.0,12.5,0.0,17.424637037462034,234567
5.0,12.5,1.0,17.68121470453603,234567
5.0,12.5,2.0,18.202890760090813,234567
5.0,12.5,3.0,19.011629347284117,234567
5.0,12.5,4.0,20.174371800028517,234567
5.0,12.5,5.0,21.793179999395058,234567
5.0,12.5,6.0,24.121820930626022,234567
5.0,12.5,7.0,28.263638974458853,234567
5.0,12.5,8.0,40.42858122839071,234567
5.0,13.0,0.0,19.35069885578009,234567
5.0,13.0,1.0,19.62422496220308,234567
5.0,13.0,2.0,20.17728196526225,234567
5.0,13.0,3.0,21.02888770486804,234567
5.0,13.0,4.0,22.247244465951546,234567
5.0,13.0,5.0,23.941508046068112,234567
5.0,13.0,6.0,26.389457145137072,234567
5.0,13.0,7.0,30.81301439983257,234567
5.0,13.0,8.0,44.55249886164598,234567
5.0,13.5,0.0,21.44375344259223,234567
5.0,13.5,1.0,21.734751365983072,234567
5.0,13.5,2.0,22.319674096945185,234567
5.0,13.5,3.0,23.2162424904173,234567
5.0,13.5,4.0,24.495278366895793,234567
5.0,13.5,5.0,26.272637785295753,234567
5.0,13.5,6.0,28.854351670512138,234567
5.0,13.5,7.0,33.56373261452678,234567
5.0,13.5,8.0,49.178809174762485,234567
5.0,14.0,0.0,23.726987820543677,234567
5.0,14.0,1.0,24.036559416118084,234567
5.0,14.0,2.0,24.656304258657293,234567
5.0,14.0,3.0,25.602506250449405,234567
5.0,14.0,4.0,26.948606168847853,234567
5.0,14.0,5.0,28.819876028033406,234567
5.0,14.0,6.0,31.524897727199455,234567
5.0,14.0,7.0,36.64976044661188,234567
5.0,14.5,0.0,26.234534174972453,234567
5.0,14.5,1.0,26.565002857188404,234567
5.0,14.5,2.0,27.223686960374835,234567
5.0,14.5,3.0,28.22561869464912,234567
5.0,14.5,4.0,29.648599427678594,234567
5.0,14.5,5.0,31.59694966446615,234567
5.0,14.5,6.0,34.47257784850398,234567
5.0,14.5,7.0,40.14564411354422,234567
5.0,15.0,0.0,29.01406925859435,234567
5.0,15.0,1.0,29.367955923159933,234567
5.0,15.0,2.0,30.07150815713313,234567
5.0,15.0,3.0,31.117408335853554,234567
5.0,15.0,4.0,32.60027865616116,234567
5.0,15.0,5.0,34.68807775898704,234567
5.0,15.0,6.0,37.82894700723237,234567
5.0,15.0,7.0,44.18081204881071,234567
5.0,15.5,0.0,32.088417294815564,234567
5.0,15.5,1.0,32.46329267440092,234567
5.0,15.5,2.0,33.20827467495695,234567
5.0,15.5,3.0,34.34124974475277,234567
5.0,15.5,4.0,35.96013435456624,234567
5.0,15.5,5.0,38.24272136320599,234567
5.0,15.5,6.0,41.695242071007236,234567
5.0,15.5,7.0,48.81078611299405,234567
5.0,16.0,0.0,35.60072086082929,234567
5.0,16.0,1.0,36.01621036897956,234567
5.0,16.0,2.0,36.83973779062268,234567
5.0,16.0,3.0,38.08907524768697,234567
5.0,16.0,4.0,39.871066158073226,234567
5.0,16.0,5.0,42.38290474018005,234567
5.0,16.0,6.0,46.266213695710555,234567
5.0,16.5,0.0,39.74265556114348,234567
5.0,16.5,1.0,40.20724333448209,234567
5.0,16.5,2.0,41.12475405300626,234567
5.0,16.5,3.0,42.51249925630852,234567
5.0,16.5,4.0,44.53326418194331,234567
5.0,16.5,5.0,47.337816351396626,234567
5.0,17.0,0.0,44.75556148365924,234567
5.0,17.0,1.0,45.28594000394197,234567
5.0,17.0,2.0,46.32485629027952,234567
5.0,17.0,3.0,47.87875644786768,234567
5.0,17.0,4.0,50.057397595043554,234567
6.0,4.0,8.0,6.324099443479261,234567
6.0,4.5,8.0,7.236875827586868,234567
6.0,5.0,8.0,8.259335126535829,234567
6.0,5.5,7.0,6.371383966686339,234567
6.0,5.5,8.0,9.394653024754298,234567
6.0,6.0,7.0,7.2821524049339805,234567
6.0,6.0,8.0,10.64581281499815,234567
6.0,6.5,6.0,6.408679029386608,234567
6.0,6.5,7.0,8.281164122664459,234567
6.0,6.5,8.0,12.015644333401813,234567
6.0,7.0,5.0,6.0690749767520575,234567
6.0,7.0,6.0,7.36124680055828,234567
6.0,7.0,7.0,9.370384817239277,234567
6.0,7.0,8.0,13.507131875482504,234567
6.0,7.5,4.0,6.0757061057665185,234567
6.0,7.5,5.0,7.028336396102051,234567
6.0,7.5,6.0,8.400802578399706,234567
6.0,7.5,7.0,10.551891126435425,234567
6.0,7.5,8.0,15.124159821429581,234567
6.0,8.0,2.0,5.9073250583222805,234567
6.0,8.0,3.0,6.3655348432126795,234567
6.0,8.0,4.0,7.064135319413619,234567
6.0,8.0,5.0,8.076339317522892,234567
6.0,8.0,6.0,9.52949825973666,234567
6.0,8.0,7.0,11.828134431362413,234567
6.0,8.0,8.0,16.8713576764646,234567
6.0,8.5,0.0,6.470449139432649,234567
6.0,8.5,1.0,6.607598197176505,234567
6.0,8.5,2.0,6.9062466892409935,234567
6.0,8.5,3.0,7.399318719462868,234567
6.0,8.5,4.0,8.144049704191756,234567
6.0,8.5,5.0,9.215714707770676,234567
6.0,8.5,6.0,10.750072872197405,234567
6.0,8.5,7.0,13.202025178300948,234567
6.0,8.5,8.0,18.755666647847615,234567
